Designator,Mid X,Mid Y,Rotation,Layer
12V,51.562,-31.496,90.0,top
12V_IC,51.6325,-18.034,90.0,top
3.3V,28.6455,-17.78,90.0,top
5V,28.575,-30.988,90.0,top
BOOT0,15.995,-71.376,270.0,top
BOOT1,15.995,-86.918,270.0,top
C1,97.0,-30.1752,90.0,top
C14,72.4916,-76.52,270.0,top
C15,76.3016,-76.4184,270.0,top
C16,72.644,-81.3156,90.0,top
C17,76.4032,-81.2648,90.0,top
C18,72.5932,-87.0204,270.0,top
C19,76.1932,-87.0204,270.0,top
C2,92.8,-30.2,90.0,top
C20,69.4,-81.2,90.0,top
C21,63.1444,-85.6996,180.0,top
C22,72.7328,-71.3232,90.0,top
C23,75.7428,-71.3232,90.0,top
C24,39.116,-28.321,0.0,top
C25,62.2,-12.6,0.0,top
C26,63.881,-35.179,0.0,top
C27,39.624,-34.163,0.0,top
C28,40.386,-21.209,180.0,top
C29,46.101,-31.242,180.0,top
C3,61.849,-20.828,0.0,top
C30,46.101,-28.829,180.0,top
C31,23.368,-31.369,180.0,top
C32,23.368,-27.969,180.0,top
C33,23.241,-13.843,180.0,top
C34,23.241,-17.526,180.0,top
C35,63.754,-29.083,0.0,top
C36,36.5404,-77.1108,0.0,top
C37,36.5404,-73.7108,0.0,top
C38,28.194,-94.996,0.0,top
C39,28.5344,-71.5772,180.0,top
C4,62.103,-15.113,0.0,top
C40,45.1104,-51.6128,0.0,top
C41,35.8648,-51.4604,0.0,top
C42,43.1292,-94.742,90.0,top
C43,46.0756,-94.6404,90.0,top
C5,46.609,-20.447,180.0,top
C6,46.609,-17.145,180.0,top
D1,90.95,-62.0625,90.0,top
D2,91.15,-57.8625,90.0,top
D3,84.3584,-56.8881,90.0,top
D4,84.394,-61.6402,90.0,top
J1,45.2,-36.4,90.0,top
J10,107.25,-38.849,90.0,top
J11,97.876,-16.637,180.0,top
J2,23.495,-34.925,90.0,top
J3,23.368,-21.463,90.0,top
J4,17.145,-54.61,0.0,top
J5,108.458,-90.54,90.0,top
J6,14.8,-28.4,180.0,top
J7,39.878,-102.997,90.0,top
J9,57.785,-102.87,90.0,top
POW1,15.6,-15.4,90.0,top
POW2,74.394,-16.448,180.0,top
POW3,108.9,-56.15,90.0,top
R1,33.909,-28.067,180.0,top
R10,40.4876,-92.1004,90.0,top
R2,23.3172,-71.5264,0.0,top
R3,57.658,-28.829,180.0,top
R4,23.6468,-87.0712,180.0,top
R5,34.671,-14.859,180.0,top
R6,46.1772,-61.722,270.0,top
R7,57.15,-14.859,180.0,top
R8,36.6268,-61.7728,90.0,top
R9,48.6664,-92.1004,270.0,top
RV1,33.528,-34.036,270.0,top
RV2,57.912,-35.179,270.0,top
RV3,34.544,-20.828,270.0,top
RV4,57.277,-20.574,270.0,top
SW3,24.869,-99.096,0.0,top
U5,93.985,-40.0642,180.0,top
U7,53.975,-74.803,0.0,top
Y1,41.4528,-56.2864,0.0,top
Y2,44.704,-91.3892,0.0,top
